director_name,movies,revenues,costs,gross_profit,return,count
Kevin Smith,"[https://en.wikipedia.org/wiki/Cop_Out_(2010_film), https://en.wikipedia.org/wiki/Red_State_(2011_film), https://en.wikipedia.org/wiki/Tusk_(2014_film)]",59374460,37000000,-7312770,-0.197642432,3
George Nolfi,[https://en.wikipedia.org/wiki/The_Adjustment_Bureau],127900000,50200000,13750000,0.273904382,1
Kenneth Branagh,"[https://en.wikipedia.org/wiki/Thor_(film), https://en.wikipedia.org/wiki/Thor_(film), https://en.wikipedia.org/wiki/Jack_Ryan:_Shadow_Recruit, https://en.wikipedia.org/wiki/Cinderella_(2015_film)]",1577600000,444210000,344590000,0.775736701,4
Tim Hill,"[https://en.wikipedia.org/wiki/Hop_(film), https://en.wikipedia.org/wiki/Muppets_from_Space]",206300000,87000000,16150000,0.185632184,2
Justin Lin,"[https://en.wikipedia.org/wiki/Fast_Five, https://en.wikipedia.org/wiki/Fast_%26_Furious_(2009_film), https://en.wikipedia.org/wiki/Fast_%26_Furious_6, https://en.wikipedia.org/wiki/Fast_Five, https://en.wikipedia.org/wiki/Fast_%26_Furious_6, https://en.wikipedia.org/wiki/Star_Trek_Beyond]",3536300000,840000000,928150000,1.104940476,6
Derek Cianfrance,"[https://en.wikipedia.org/wiki/Blue_Valentine_(film), https://en.wikipedia.org/wiki/The_Place_Beyond_the_Pines, https://en.wikipedia.org/wiki/The_Light_Between_Oceans_(film)]",87700000,36000000,7850000,0.218055556,3
Harmony Korine,[https://en.wikipedia.org/wiki/Spring_Breakers],31700000,5000000,10850000,2.17,1
Kirk Jones,"[https://en.wikipedia.org/wiki/Nanny_McPhee, https://en.wikipedia.org/wiki/What_to_Expect_When_You%27re_Expecting_(film), https://en.wikipedia.org/wiki/My_Big_Fat_Greek_Wedding_2]",295789822,83000000,64894911,0.781866398,3
Tom Vaughan,[https://en.wikipedia.org/wiki/Extraordinary_Measures],15134293,31000000,-23432853.5,-0.7558985,1
Burr Steers,"[https://en.wikipedia.org/wiki/Charlie_St._Cloud_(film), https://en.wikipedia.org/wiki/Pride_and_Prejudice_and_Zombies_(film)]",64590704,72000000,-39704648,-0.551453444,2
"Phil LordChristopher Miller",[https://en.wikipedia.org/wiki/Cloudy_with_a_Chance_of_Meatballs_(film)],243000000,100000000,21500000,0.215,1
Greg Berlanti,[https://en.wikipedia.org/wiki/Life_as_We_Know_It_(film)],105648706,38000000,14824353,0.390114553,1
Jim Kohlberg,[https://en.wikipedia.org/wiki/The_Music_Never_Stopped],0,0,0,,1
Michael Sucsy,[https://en.wikipedia.org/wiki/The_Vow_(2012_film)],196114570,30000000,68057285,2.268576167,1
Bille Woodruff,"[https://en.wikipedia.org/wiki/Addicted_(2014_film), https://en.wikipedia.org/wiki/The_Perfect_Match_(2016_film)]",27900000,10000000,3950000,0.395,2
Park Chan-wook,[https://en.wikipedia.org/wiki/Stoker_(film)],12100000,12000000,-5950000,-0.495833333,1
Colin Trevorrow,"[https://en.wikipedia.org/wiki/Safety_Not_Guaranteed, https://en.wikipedia.org/wiki/Jurassic_World]",1674400000,130050000,707150000,5.437524029,2
Rupert Sanders,"[https://en.wikipedia.org/wiki/Snow_White_%26_the_Huntsman, https://en.wikipedia.org/wiki/Snow_White_and_the_Huntsman]",793200000,340000000,56600000,0.166470588,2
Angel Gracia,[https://en.wikipedia.org/wiki/From_Prada_to_Nada],0,0,0,,1
Jared Hess,[https://en.wikipedia.org/wiki/Masterminds_(2016_film)],29200000,25000000,-10400000,-0.416,1
Joss Whedon,"[https://en.wikipedia.org/wiki/The_Avengers_(2012_film), https://en.wikipedia.org/wiki/Much_Ado_About_Nothing_(2012_film), https://en.wikipedia.org/wiki/Avengers:_Age_of_Ultron, https://en.wikipedia.org/wiki/The_Avengers_(2012_film)]",4445000000,756000000,1466500000,1.939814815,4
Paul Thomas Anderson,"[https://en.wikipedia.org/wiki/The_Master_(2012_film), https://en.wikipedia.org/wiki/Inherent_Vice_(film)]",43000000,52000000,-30500000,-0.586538462,2
Paul Tibbitt[1],[https://en.wikipedia.org/wiki/The_SpongeBob_Movie:_Sponge_Out_of_Water],323400000,74000000,87700000,1.185135135,1
Catherine Hardwicke,"[https://en.wikipedia.org/wiki/Red_Riding_Hood_(2011_film), https://en.wikipedia.org/wiki/Plush_(film)]",89165242,44000000,582621,0.013241386,2
"Jon LucasScott Moore",[https://en.wikipedia.org/wiki/Bad_Moms],179400000,20000000,69700000,3.485,1
Jean-Marc VallÃ©e,"[https://en.wikipedia.org/wiki/Dallas_Buyers_Club, https://en.wikipedia.org/wiki/Wild_(2014_film), https://en.wikipedia.org/wiki/Demolition_(2015_film)]",111800000,30000000,25900000,0.863333333,3
Jimmy Hayward,"[https://en.wikipedia.org/wiki/Jonah_Hex_(film), https://en.wikipedia.org/wiki/Free_Birds]",121300000,102000000,-41350000,-0.405392157,2
"Malika Zouhali-WorrallKatherine Fairfax Wright",[https://en.wikipedia.org/wiki/Call_Me_Kuchu],0,0,0,,1
Dave Green,"[https://en.wikipedia.org/wiki/Earth_to_Echo, https://en.wikipedia.org/wiki/Teenage_Mutant_Ninja_Turtles:_Out_of_the_Shadows]",290900000,148000000,-2550000,-0.01722973,2
Dave Grohl,[https://en.wikipedia.org/wiki/Sound_City_(film)],0,0,0,,1
Lee Unkrich,[https://en.wikipedia.org/wiki/Toy_Story_3],1067000000,200000000,333500000,1.6675,1
Tom Holland,[https://en.wikipedia.org/wiki/Fright_Night],24900000,7000000,5450000,0.778571429,1
Gus Van Sant,[https://en.wikipedia.org/wiki/Restless_(2011_film)],163265,8000000,-7918367.5,-0.989795938,1
Jerome Sable,[https://en.wikipedia.org/wiki/Stage_Fright_(2014_film)],0,0,0,,1
Neil Barsky,[https://en.wikipedia.org/wiki/Koch_(film)],0,0,0,,1
John Singleton,[https://en.wikipedia.org/wiki/Abduction_(2011_film)],82100000,35000000,6050000,0.172857143,1
"Jon LucasScott Moore",[https://en.wikipedia.org/wiki/21_%26_Over_(film)],48100000,13000000,11050000,0.85,1
Stephen Frears,"[https://en.wikipedia.org/wiki/Philomena_(film), https://en.wikipedia.org/wiki/Florence_Foster_Jenkins_(film)]",144400000,41000000,31200000,0.76097561,2
Akira Kurosawa,[https://en.wikipedia.org/wiki/Seven_Samurai],0,0,0,,1
"Pierre CoffinChris Renaud","[https://en.wikipedia.org/wiki/Despicable_Me_2, https://en.wikipedia.org/wiki/Despicable_Me_2]",1941600000,152000000,818800000,5.386842105,2
Rick Famuyiwa,"[https://en.wikipedia.org/wiki/Our_Family_Wedding, https://en.wikipedia.org/wiki/Dope_(2015_film)]",18000000,7000000,2000000,0.285714286,2
Yaron Zilberman,[https://en.wikipedia.org/wiki/A_Late_Quartet],0,0,0,,1
Brian Dannelly,[https://en.wikipedia.org/wiki/Struck_by_Lightning_(2012_film)],28378,1300000,-1285811,-0.989085385,1
Brett Ratner,"[https://en.wikipedia.org/wiki/Tower_Heist, https://en.wikipedia.org/wiki/Hercules_(2014_film)]",397700000,175000000,23850000,0.136285714,2
Gareth Edwards,"[https://en.wikipedia.org/wiki/Godzilla_(2014_film), https://en.wikipedia.org/wiki/Rogue_One]",1572100000,360000000,426050000,1.183472222,2
David Twohy,"[https://en.wikipedia.org/wiki/Riddick_(film), https://en.wikipedia.org/wiki/The_Chronicles_of_Riddick]",214100000,143000000,-35950000,-0.251398601,2
Jesse Peretz,[https://en.wikipedia.org/wiki/Our_Idiot_Brother],25861249,5000000,7930624.5,1.5861249,1
Joe Wright,[https://en.wikipedia.org/wiki/Hanna_(film)],65300000,30000000,2650000,0.088333333,1
Dean Parisot,[https://en.wikipedia.org/wiki/RED_2_(film)],148100000,84000000,-9950000,-0.118452381,1
"John Stalberg, Jr.",[https://en.wikipedia.org/wiki/High_School_(2012_film)],139034,10000000,-9930483,-0.9930483,1
Anne Fletcher,"[https://en.wikipedia.org/wiki/The_Guilt_Trip_(film), https://en.wikipedia.org/wiki/Hot_Pursuit_(2015_film)]",93600000,75000000,-28200000,-0.376,2
Danny Boyle,[https://en.wikipedia.org/wiki/127_Hours],60700000,18000000,12350000,0.686111111,1
Adam Carolla,[https://en.wikipedia.org/wiki/Road_Hard],0,0,0,,1
Daryl Wein,[https://en.wikipedia.org/wiki/Lola_Versus],0,0,0,,1
Sam Raimi,[https://en.wikipedia.org/wiki/Oz_the_Great_and_Powerful],493300000,160200000,86450000,0.539637953,1
Noam Murro,[https://en.wikipedia.org/wiki/300:_Rise_of_an_Empire],337600000,110000000,58800000,0.534545455,1
Joe Carnahan,"[https://en.wikipedia.org/wiki/The_A-Team_(film), https://en.wikipedia.org/wiki/The_Grey_(film)]",254500000,135000000,-7750000,-0.057407407,2
F. Javier GutiÃ©rrez,[https://en.wikipedia.org/wiki/Rings_(2016_film)],31800000,25000000,-9100000,-0.364,1
David Boyd,[https://en.wikipedia.org/wiki/Home_Run_(film)],2861020,1200000,230510,0.192091667,1
Todd Louiso,[https://en.wikipedia.org/wiki/Hello_I_Must_Be_Going_(2012_film)],0,0,0,,1
Scott Speer,"[https://en.wikipedia.org/wiki/Step_Up_Revolution, https://en.wikipedia.org/wiki/Step_Up_Revolution]",281000000,66000000,74500000,1.128787879,2
"Akiva SchafferJorma Taccone",[https://en.wikipedia.org/wiki/Popstar:_Never_Stop_Never_Stopping],9500000,20000000,-15250000,-0.7625,1
Kathryn Bigelow,"[https://en.wikipedia.org/wiki/Zero_Dark_Thirty, https://en.wikipedia.org/wiki/Point_Break]",216300000,64000000,44150000,0.68984375,2
Leslye Headland,[https://en.wikipedia.org/wiki/Bachelorette_(film)],11900000,3000000,2950000,0.983333333,1
"{{plainlistChris RenaudYarrow Cheney (co-director)[1]}}",[https://en.wikipedia.org/wiki/The_Secret_Life_of_Pets],875500000,75000000,362750000,4.836666667,1
Matt Russell,[https://en.wikipedia.org/wiki/Seven_Days_in_Utopia],4400000,7500000,-5300000,-0.706666667,1
James DeMonaco,"[https://en.wikipedia.org/wiki/The_Purge, https://en.wikipedia.org/wiki/The_Purge:_Anarchy, https://en.wikipedia.org/wiki/The_Purge, https://en.wikipedia.org/wiki/The_Purge, https://en.wikipedia.org/wiki/The_Purge:_Election_Year]",498400000,28000000,221200000,7.9,5
Atom Egoyan,[https://en.wikipedia.org/wiki/Devil%27s_Knot_(film)],2000000,15000000,-14000000,-0.933333333,1
Dan Fogelman,[https://en.wikipedia.org/wiki/Danny_Collins_(film)],8200000,10000000,-5900000,-0.59,1
Jonathan M. Gunn,[https://en.wikipedia.org/wiki/Do_You_Believe%3F_(film)],14400000,2300000,4900000,2.130434783,1
Craig Zobel,[https://en.wikipedia.org/wiki/Compliance_(film)],0,0,0,,1
Anton Corbijn,[https://en.wikipedia.org/wiki/The_American_(2010_film)],67900000,20000000,13950000,0.6975,1
Michael Lembeck,[https://en.wikipedia.org/wiki/Tooth_Fairy_(2010_film)],112500000,48000000,8250000,0.171875,1
"Eric DarnellTom McGrath",[https://en.wikipedia.org/wiki/Madagascar:_Escape_2_Africa],603900000,150000000,151950000,1.013,1
Larry Charles,[https://en.wikipedia.org/wiki/The_Dictator_(2012_film)],179400000,65000000,24700000,0.38,1
"Simon Barrett (Tape 49)Adam Wingard (Phase I Clinical Trials)Eduardo SÃ¡nchez and Gregg Hale (A Ride in the Park)Timo Tjahjanto and Gareth Huw Evans (Safe Haven)Jason Eisener (Slumber Party Alien Abduction)",[https://en.wikipedia.org/wiki/V/H/S/2],0,0,0,,1
Mike Thurmeier,[https://en.wikipedia.org/wiki/Ice_Age:_Collision_Course],408600000,105000000,99300000,0.945714286,1
Neill Blomkamp,"[https://en.wikipedia.org/wiki/Eugene_Khumbanyiwa, https://en.wikipedia.org/wiki/Elysium_(film), https://en.wikipedia.org/wiki/Chappie_(film)]",599000000,194000000,105500000,0.543814433,3
Richard Ramsey,[https://en.wikipedia.org/wiki/The_Song_(2014_film)],0,0,0,,1
J Blakeson,[https://en.wikipedia.org/wiki/The_5th_Wave_(film)],109900000,38000000,16950000,0.446052632,1
Jeff Baena,[https://en.wikipedia.org/wiki/Life_After_Beth],254881,2400000,-2272559.5,-0.946899792,1
Christopher Douglas-Olen Ray,[https://en.wikipedia.org/wiki/Mega_Shark_Versus_Crocosaurus],500543,100000,150271.5,1.502715,1
Eli Roth,[https://en.wikipedia.org/wiki/The_Green_Inferno_(film)],12700000,5000000,1350000,0.27,1
"Brian KoppelmanDavid Levien",[https://en.wikipedia.org/wiki/Solitary_Man_(film)],5024782,15000000,-12487609,-0.832507267,1
"Nat FaxonJim Rash","[https://en.wikipedia.org/wiki/The_Way,_Way_Back]",23200000,5000000,6600000,1.32,1
John Hillcoat,"[https://en.wikipedia.org/wiki/Lawless_(film), https://en.wikipedia.org/wiki/Triple_9]",77100000,46000000,-7450000,-0.161956522,2
Steven R. Monroe,[https://en.wikipedia.org/wiki/I_Spit_on_Your_Grave_2],0,0,0,,1
Benson Lee,"[https://en.wikipedia.org/wiki/Battle_of_the_Year_(film), https://en.wikipedia.org/wiki/Planet_B-Boy]",16500000,20000000,-11750000,-0.5875,2
Quentin Tarantino,[https://en.wikipedia.org/wiki/Django_Unchained],425400000,100000000,112700000,1.127,1
Chris Gorak,[https://en.wikipedia.org/wiki/The_Darkest_Hour_(film)],64600000,30000000,2300000,0.076666667,1
Adam Green,"[https://en.wikipedia.org/wiki/Frozen_(2010_American_film), https://en.wikipedia.org/wiki/Hatchet_II]",0,0,0,,2
Andrew Niccol,"[https://en.wikipedia.org/wiki/In_Time_(film), https://en.wikipedia.org/wiki/The_Host_(2013_film)]",237200000,80000000,38600000,0.4825,2
Michael Pavone,[https://en.wikipedia.org/wiki/That%27s_What_I_Am],0,0,0,,1
Kevin Macdonald,"[https://en.wikipedia.org/wiki/The_Eagle_(2011_film), https://en.wikipedia.org/wiki/Life_in_a_Day_(2011_film), https://en.wikipedia.org/wiki/Marley_(film)]",35500000,25000000,-7250000,-0.29,3
Frank Oz,[https://en.wikipedia.org/wiki/Death_at_a_Funeral_(2007_film)],46800000,9000000,14400000,1.6,1
Sergei Bodrov,[https://en.wikipedia.org/wiki/Seventh_Son_(film)],114200000,95000000,-37900000,-0.398947368,1
Samuel Bayer,[https://en.wikipedia.org/wiki/A_Nightmare_on_Elm_Street_(2010_film)],115600000,35000000,22800000,0.651428571,1
Robert Rodriguez,"[https://en.wikipedia.org/wiki/Spy_Kids:_All_the_Time_in_the_World, https://en.wikipedia.org/wiki/Spy_Kids_3-D:_Game_Over, https://en.wikipedia.org/wiki/Machete_Kills]",297600000,85000000,63800000,0.750588235,3
Michael Patrick King,"[https://en.wikipedia.org/wiki/Sex_and_the_City_2, https://en.wikipedia.org/wiki/Sex_and_the_City:_The_Movie]",709800000,160000000,194900000,1.218125,2
Scott Waugh,[https://en.wikipedia.org/wiki/Need_for_Speed_(film)],203300000,65000000,36650000,0.563846154,1
Gary Rydstrom,[https://en.wikipedia.org/wiki/Strange_Magic_(film)],0,0,0,,1
Douglas McGrath,[https://en.wikipedia.org/wiki/I_Don%27t_Know_How_She_Does_It],30551495,24000000,-8724252.5,-0.363510521,1
Tony Kaye,[https://en.wikipedia.org/wiki/Detachment_(film)],0,0,0,,1
Daniel Algrant,[https://en.wikipedia.org/wiki/Greetings_from_Tim_Buckley],0,0,0,,1
Betty Thomas,[https://en.wikipedia.org/wiki/Alvin_and_the_Chipmunks:_The_Squeakquel],443140005,70000000,151570002.5,2.16528575,1
"Matt Bettinelli-OlpinTyler Gillett",[https://en.wikipedia.org/wiki/Devil%27s_Due_(film)],36900000,7000000,11450000,1.635714286,1
Garry Marshall,"[https://en.wikipedia.org/wiki/Valentine%27s_Day_(2010_film), https://en.wikipedia.org/wiki/New_Year%27s_Eve_(film), https://en.wikipedia.org/wiki/Mother%27s_Day_(2016_film)]",402300000,133000000,68150000,0.512406015,3
Doug Ellin,[https://en.wikipedia.org/wiki/Entourage_(film)],49300000,39000000,-14350000,-0.367948718,1
"Clyde GeronimiHamilton LuskeWilfred Jackson",[https://en.wikipedia.org/wiki/Cinderella_(1950_film)],263600000,2900000,128900000,44.44827586,1
"Anthony Hemingway",[https://en.wikipedia.org/wiki/Red_Tails],50400000,58000000,-32800000,-0.565517241,1
Raymond De Felitta,[https://en.wikipedia.org/wiki/City_Island_(film)],7875862,6000000,-2062069,-0.343678167,1
Megan Griffiths,[https://en.wikipedia.org/wiki/Lucky_Them],0,0,0,,1
Michael Tiddes,"[https://en.wikipedia.org/wiki/A_Haunted_House_(film), https://en.wikipedia.org/wiki/A_Haunted_House_2, https://en.wikipedia.org/wiki/A_Haunted_House, https://en.wikipedia.org/wiki/Fifty_Shades_of_Black]",166400000,14000000,69200000,4.942857143,4
J. A. Bayona,[https://en.wikipedia.org/wiki/A_Monster_Calls_(film)],42600000,43000000,-21700000,-0.504651163,1
"Rob EpsteinJeffrey Friedman[1]",[https://en.wikipedia.org/wiki/Lovelace_(film)],1600000,12000000,-11200000,-0.933333333,1
Kasi Lemmons,[https://en.wikipedia.org/wiki/Black_Nativity_(film)],7454185,17500000,-13772907.5,-0.787023286,1
Brian Levant,[https://en.wikipedia.org/wiki/The_Spy_Next_Door],45200000,28000000,-5400000,-0.192857143,1
Terrence Malick,[https://en.wikipedia.org/wiki/The_Tree_of_Life_(film)],54300000,32000000,-4850000,-0.1515625,1
Joe Dante,[https://en.wikipedia.org/wiki/Piranha_(1978_film)],16000000,770000,7230000,9.38961039,1
Alan Poul,[https://en.wikipedia.org/wiki/The_Back-up_Plan],77500000,35000000,3750000,0.107142857,1
"Kieran MulroneyMichele Mulroney",[https://en.wikipedia.org/wiki/Paper_Man_(2009_film)],0,0,0,,1
Dean Israelite,[https://en.wikipedia.org/wiki/Project_Almanac],33200000,12000000,4600000,0.383333333,1
"Robert RodriguezFrank Miller",[https://en.wikipedia.org/wiki/Sin_City:_A_Dame_to_Kill_For],39400000,65000000,-45300000,-0.696923077,1
Phil Alden Robinson,[https://en.wikipedia.org/wiki/The_Angriest_Man_in_Brooklyn],0,0,0,,1
Jonathan Hensleigh,[https://en.wikipedia.org/wiki/Kill_the_Irishman],1190000,12000000,-11405000,-0.950416667,1
"Will SpeckJosh Gordon",[https://en.wikipedia.org/wiki/The_Switch_(2010_film)],49900000,19000000,5950000,0.313157895,1
Ericson Core,[https://en.wikipedia.org/wiki/Point_Break_(2015_film)],133700000,105000000,-38150000,-0.363333333,1
"Seth RogenEvan Goldberg","[https://en.wikipedia.org/wiki/This_Is_the_End, https://en.wikipedia.org/wiki/The_Interview]",137300000,76000000,-7350000,-0.096710526,2
Dennis Gansel,[https://en.wikipedia.org/wiki/Mechanic:_Resurrection],125700000,40000000,22850000,0.57125,1
Lone Scherfig,[https://en.wikipedia.org/wiki/One_Day_(2011_film)],56706628,15000000,13353314,0.890220933,1
Stephen Belber,[https://en.wikipedia.org/wiki/Match_(film)],0,0,0,,1
Rodrigo GarcÃ_a,[https://en.wikipedia.org/wiki/Mother_and_Child_(film)],4000000,7000000,-5000000,-0.714285714,1
Paul Feig,"[https://en.wikipedia.org/wiki/Bridesmaids_(2011_film), https://en.wikipedia.org/wiki/The_Heat_(film), https://en.wikipedia.org/wiki/Spy_(2015_film), https://en.wikipedia.org/wiki/Ghostbusters_(2016_film)]",983100000,284500000,207050000,0.727768014,4
